id	Qald question	QueGG question	lexical entry	sparql	answer								
1997	Name the source of Raa ?	Name the source of Raa ?	source of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Raša_(river)> <http://dbpedia.org/ontology/source> ?uri } 	[]								
2027	GetTV is owned by which organisation?	GetTV is owned by which organisation?	owned by	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/GetTV> <http://dbpedia.org/ontology/parentOrganisation> ?uri } 	[]								
2035	Who composed the music for Tonight's the Night ?	Who composed the music for Tonight's the Night ?	composed	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Tonight's_the_Night_(2003_musical)> <http://dbpedia.org/property/music> ?uri } 	[]								
2047	What movies have been written by authors of Monty Python ?	What movies have been written by authors of Monty Python ?	written by authors of	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/writer> <http://dbpedia.org/resource/Monty_Python>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}	[]								
2055	Who is a religious figure titled superior general?	Who is a religious figure titled superior general?	religious figure titled 	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/title> <http://dbpedia.org/resource/Superior_general>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Religious>}	[]								
2061	Which are the predecessor of Chevrolet Caprice?	Which are the predecessor of Chevrolet Caprice?	predecessor of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chevrolet_Caprice> <http://dbpedia.org/ontology/predecessor> ?uri } 	[]								
2128	Where Everybody knows you is the theme album of which show ?	Where Everybody knows you is the theme album of which show ?	 the theme album of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Where_Everybody_Knows_Your_Name> <http://dbpedia.org/ontology/album> ?uri } 	[]								
2143	Who edited Easy street ?	Who edited Easy street ?	edited	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Easy_Street_(film)> <http://dbpedia.org/ontology/editing> ?uri } 	[]								
2156	Count the number of region of AN/FSQ-7 Combat Direction Central?	Count the number of region of AN/FSQ-7 Combat Direction Central?	region of	SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/AN/FSQ-7_Combat_Direction_Central> <http://dbpedia.org/ontology/region> ?uri  . }	[]								
2158	Where was Special 26 recorded ?	Where was Special 26 recorded ?	recorded	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Special_26> <http://dbpedia.org/property/recorded> ?uri } 	[]								
2160	List the people with Scientology as their religious belief?	List the people with Scientology as their religious belief?	religious belief	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/religion> <http://dbpedia.org/resource/Scientology>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>}	[]								
2188	Where was Sino-French War fought ?	Where was Sino-French War fought ?	fought	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Sino-French_War> <http://dbpedia.org/ontology/territory> ?uri } 	[]								
2190	Who is the owner of  Chelsea F.C. ?	Who is the owner of  Chelsea F.C. ?	owner of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chelsea_F.C.> <http://dbpedia.org/property/owner> ?uri } 	[]								
2193	How many bacterias are there whose division is Firmicutes?	How many bacterias are there whose division is Firmicutes?	division	SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/division> <http://dbpedia.org/resource/Firmicutes>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Bacteria>}	[]								
2200	What famous politician died in the Petersen House?	What famous politician died in the Petersen House?	died in	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/deathPlace> <http://dbpedia.org/resource/Petersen_House>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>}	[]								
2205	Where was Ne daj se, Nina first aired ?	Where was Ne daj se, Nina first aired ?	aired	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ne_daj_se,_Nina> <http://dbpedia.org/property/firstAired> ?uri } 	[]								
2219	Who operates twin Cities 400 ?	Who operates twin Cities 400 ?	operate	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Twin_Cities_400> <http://dbpedia.org/ontology/operatedBy> ?uri } 	[]								
2237	Count the water bodies that flow into the North Sea?	Count the water bodies that flow into the North Sea?	 flow into	SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/North_Sea> <http://dbpedia.org/property/inflow> ?uri  . }	[]								
2265	in which movies have momoki kochi acted	in which movies have momoki kochi acted	acted in	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/starring> <http://dbpedia.org/resource/Momoko_Kōchi> } 	[]								
2291	List the ethnicity of Riley Reid?	List the ethnicity of Riley Reid?	ethnicity of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Riley_Reid> <http://dbpedia.org/property/ethnicity> ?uri } 	[]								
2326	List the software developed by Shawn Fanning ?	List the software developed by Shawn Fanning ?	developed by	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/developer> <http://dbpedia.org/resource/Shawn_Fanning>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Software>}	[]								
2376	How many soccer manager have been in the Spain nation football team?	How many soccer manager have been in the Spain nation football team?	nation football team	SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/nationalteam> <http://dbpedia.org/resource/Spain_national_football_team>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/SoccerManager>}	[]								
2386	Philadelphia City Council is the governing body of which city?	Philadelphia City Council is the governing body of which city?	governing body of	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/governingBody> <http://dbpedia.org/resource/Philadelphia_City_Council> } 	[]								
2427	Count all the stateless people	Count all the stateless people	stateless	SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/citizenship> <http://dbpedia.org/resource/Statelessness>  . }	[]								
2444	Where was david Scherman trained ?	Where was david Scherman trained ?	trained	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/David_Scherman> <http://dbpedia.org/property/training> ?uri } 	[]								
2449	In which country is Sierra del Merendin?	In which country is Sierra del Merendin?	country in	SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Sierra_del_Merendón> <http://dbpedia.org/ontology/country> ?uri  . }	[]								
2479	Name the appointer of William Clark ?	Name the appointer of William Clark ?	appointer of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/William_Clark> <http://dbpedia.org/property/appointer> ?uri } 	[]								
2551	What is the relegious affiliations of Katyayana ?	What is the relegious affiliations of Katyayana ?	relegious affiliations of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Katyayana_(Buddhist)> <http://dbpedia.org/property/religion> ?uri } 	[]								
2557	What is the citizenship of Saima Chowdhury?	What is the citizenship of Saima Chowdhury?	citizenship of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Saima_Chowdhury> <http://dbpedia.org/ontology/citizenship> ?uri } 	[]								
2612	Name  some ww1 veterans?	Name  some ww1 veterans?	veterans	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/battles> <http://dbpedia.org/resource/World_War_I>  . }	[]								
2613	Where can one find some quick bread in the world?	Where can one find some quick bread in the world?	quick bread in 	SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/type> <http://dbpedia.org/resource/Quick_bread> . ?x <http://dbpedia.org/ontology/region> ?uri  . }	[]								
2621	What musicians are signed up with colpix records?	What musicians are signed up with colpix records?	signed up	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/label> <http://dbpedia.org/resource/Colpix_Records>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MusicalArtist>}	[]								
2695	Which airlines fly to Gimhae International Airport?	Which airlines fly to Gimhae International Airport?	fly to	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/targetAirport> <http://dbpedia.org/resource/Gimhae_International_Airport> } 	[]								
2701	Where is Denver Broncos located ?	Where is Denver Broncos located ?	located	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Denver_Broncos> <http://dbpedia.org/ontology/locationCity> ?uri } 	[]								
2712	To which country is Svetlana Navasardyan from?	To which country is Svetlana Navasardyan from?	country from	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Svetlana_Navasardyan> <http://dbpedia.org/property/origin> ?uri } 	[]								
2724	What are the notableworks of Russell T Davies?	What are the notableworks of Russell T Davies?	notableworks of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Russell_T_Davies> <http://dbpedia.org/property/notableworks> ?uri } 	[]								
2747	Name the institute of Alton Ochsner ?	Name the institute of Alton Ochsner ?	institute of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Alton_Ochsner> <http://dbpedia.org/ontology/institution> ?uri } 	[]								
2766	Which company owns Sony bank ?	Which company owns Sony bank ?	owns Sony	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Sony_Bank> <http://dbpedia.org/ontology/owningCompany> ?uri } 	[]								
2773	who was the president under whom winston bryant served as a lieutenant?	who was the president under whom winston bryant served as a lieutenant?	served as a lieutenant	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/lieutenant> <http://dbpedia.org/resource/Winston_Bryant> } 	[]								
2783	What are the nicknames given to the characters of The Wolves of the Mercy Falls?	What are the nicknames given to the characters of The Wolves of the Mercy Falls?	nicknames given to the characters of 	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/List_of_The_Wolves_of_Mercy_Falls_characters> <http://dbpedia.org/property/nickname> ?uri } 	[]								
2786	List the territory of Tonkin Campaign ?	List the territory of Tonkin Campaign ?	territory of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Tonkin_Campaign> <http://dbpedia.org/ontology/territory> ?uri } 	[]								
2808	Name the club of Julie Hastings ?	Name the club of Julie Hastings ?	club of 	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Julie_Hastings> <http://dbpedia.org/ontology/club> ?uri } 	[]								
2814	Which artist married to Lee Krasner?	Which artist married to Lee Krasner?	married to	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/spouse> <http://dbpedia.org/resource/Lee_Krasner>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Artist>}	[]								
2838	Name few movies directed by Tim Burton ?	Name few movies directed by Tim Burton ?	directed by	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/director> <http://dbpedia.org/resource/Tim_Burton>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}	[]								
2869	what kind of things play on WBIG FM?	what kind of things play on WBIG FM?	play on	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/WBIG-FM> <http://dbpedia.org/ontology/programmeFormat> ?uri } 	[]								
2870	What is the serving railway line of Warwick railway station, Perth ?	What is the serving railway line of Warwick railway station, Perth ?	serving railway line of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Warwick_railway_station,_Perth> <http://dbpedia.org/ontology/servingRailwayLine> ?uri } 	[]								
2896	What are the settlements whose neighboring municipalities is Lancy?	What are the settlements whose neighboring municipalities is Lancy?	neighboring municipalities	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/neighboringMunicipalities> <http://dbpedia.org/resource/Lancy>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>}	[]								
2904	Georg Meissner was doctoral supervisor of which scientist ?	Georg Meissner was doctoral supervisor of which scientist ?	doctoral supervisor of	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/doctoralAdvisor> <http://dbpedia.org/resource/Georg_Meissner>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Scientist>}	[]								
2912	Which companies were behind the renovation of McKechnie Field ?	Which companies were behind the renovation of McKechnie Field ?	behind the renovation of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/McKechnie_Field> <http://dbpedia.org/property/architect> ?uri } 	[]								
2914	What is the location country of Teperberg 1870 ?	What is the location country of Teperberg 1870 ?	location country of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Teperberg_1870> <http://dbpedia.org/property/locationCountry> ?uri } 	[]								
2919	what cities are close by LoDaisKa ?	what cities are close by LoDaisKa ?	close by	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/LoDaisKa_Site> <http://dbpedia.org/ontology/nearestCity> ?uri } 	[]								
2958	who owns the ship Victoria?	who owns the ship Victoria?	owns	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Victoria_(ship)> <http://dbpedia.org/ontology/owner> ?uri } 	[]								
2967	For which teams did Ryan Powell play for?	For which teams did Ryan Powell play for?	play for	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ryan_Powell_(lacrosse)> <http://dbpedia.org/ontology/team> ?uri } 	[]								
2976	What royalties's sepulchre is Mausoleum of Augustus?	What royalties's sepulchre is Mausoleum of Augustus?	sepulchre of royalties	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/placeOfBurial> <http://dbpedia.org/resource/Mausoleum_of_Augustus> } 	[]								
2993	Which state does Jerome B. Chaffee belong ?	Which state does Jerome B. Chaffee belong ?	belong 	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jerome_B._Chaffee> <http://dbpedia.org/property/state> ?uri } 	[]								
3019	Who is married to Gerard Piqu?	Who is married to Gerard Piqu?	married to	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/partner> <http://dbpedia.org/resource/Gerard_Piqué>  . }	[]								
3054	Who is the producer of  Frampton's Camel ?	Who is the producer of  Frampton's Camel ?	producer of 	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Frampton's_Camel> <http://dbpedia.org/property/producer> ?uri } 	[]								
3059	Count the key people of the Clinton Foundation?	Count the key people of the Clinton Foundation?	key people of	SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/Clinton_Foundation> <http://dbpedia.org/property/keyPeople> ?uri  . }	[]								
3060	Give me someone on the board of trinity house?	Give me someone on the board of trinity house?	the board of 	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/board> <http://dbpedia.org/resource/Trinity_House>  . }	[]								
3108	Where was Al-Muzaffar Umar buried ?	Where was Al-Muzaffar Umar buried ?	buried 	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Al-Muzaffar_Umar> <http://dbpedia.org/property/placeOfBurial> ?uri } 	[]								
3122	How many members are there in the European Go Federation?	How many members are there in the European Go Federation?	members in	SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/European_Go_Federation> <http://dbpedia.org/property/membership> ?uri  . }	[]								
3124	List all the notable works of  Russell T Davies?	List all the notable works of  Russell T Davies?	notable works of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Russell_T_Davies> <http://dbpedia.org/ontology/notableWork> ?uri } 	[]								
3136	To which country does Peter Blay owe his allegiance?	To which country does Peter Blay owe his allegiance?	allegiance to	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Peter_Blay> <http://dbpedia.org/property/allegiance> ?uri } 	[]								
3146	Was Morrissey a member of the Smiths?	Was Morrissey a member of the Smiths?	member of	ASK WHERE { <http://dbpedia.org/resource/The_Smiths> <http://dbpedia.org/ontology/formerBandMember> <http://dbpedia.org/resource/Morrissey> }	[]								
3147	Who are the producers of Marie Sisters?	Who are the producers of Marie Sisters?	producers of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Marie_Sisters> <http://dbpedia.org/property/producer> ?uri } 	[]								
3152	List the comic characters created by Joe Shuster ?	List the comic characters created by Joe Shuster ?	created by	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/creators> <http://dbpedia.org/resource/Joe_Shuster>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/ComicsCharacter>}	[]								
3157	Who was on the first team in the GPs that were held at Watkins Glen, NY?	Who was on the first team in the GPs that were held at Watkins Glen, NY?	held at	SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/location> <http://dbpedia.org/resource/Watkins_Glen,_New_York> . ?x <http://dbpedia.org/property/firstTeam> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/GrandPrix>}	[]								
3170	Who is the military general buried in St Mary's Church, Battersea?	Who is the military general buried in St Mary's Church, Battersea?	buried in	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/placeofburial> <http://dbpedia.org/resource/St_Mary's_Church,_Battersea>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MilitaryPerson>}	[]								
3183	What are the musical performances whose label is Celluloid Records?	What are the musical performances whose label is Celluloid Records?	label	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/label> <http://dbpedia.org/resource/Celluloid_Records>  . }	[]								
3234	Who is the chancellor of Falmouth University ?	Who is the chancellor of Falmouth University ?	chancellor of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Falmouth_University> <http://dbpedia.org/property/chancellor> ?uri } 	[]								
3236	What are the binomial authority of Menetries's warbler?	What are the binomial authority of Menetries's warbler?	binomial authority of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Menetries's_warbler> <http://dbpedia.org/ontology/binomialAuthority> ?uri } 	[]								
3261	Who is the music composer of Kenny Dies ?	Who is the music composer of Kenny Dies ?	music composer of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kenny_Dies> <http://dbpedia.org/ontology/musicComposer> ?uri } 	[]								
3267	By what style was Providence Chapel, Charlwood made?	By what style was Providence Chapel, Charlwood made?	style by	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Providence_Chapel,_Charlwood> <http://dbpedia.org/property/style> ?uri } 	[]								
3301	Name  the Pole driver of 1994 Spanish Grand Prix ?	Name  the Pole driver of 1994 Spanish Grand Prix ?	Pole driver of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/1994_Spanish_Grand_Prix> <http://dbpedia.org/property/poleDriver> ?uri } 	[]								
3302	Who was the First Driver of 1999 San Marino Grand Prix ?	Who was the First Driver of 1999 San Marino Grand Prix ?	First Driver of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/1999_San_Marino_Grand_Prix> <http://dbpedia.org/property/firstDriver> ?uri } 	[]								
3327	Which team won the American Football League?	Which team won the American Football League?	won	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/American_Football_League> <http://dbpedia.org/property/champion> ?uri } 	[]								
3330	what is the headquarters of Juan Dalmau Ramerez?	what is the headquarters of Juan Dalmau Ramerez?	headquarters of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Juan_Dalmau_Ramírez> <http://dbpedia.org/property/headquarters> ?uri } 	[]								
3342	Who is the leader of Allgemeine SS ?	Who is the leader of Allgemeine SS ?	leader of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Allgemeine_SS> <http://dbpedia.org/ontology/leader> ?uri } 	[]								
3343	How many important works have been done by Russel Davies?	How many important works have been done by Russel Davies?	important works have been done by	SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/Russell_T_Davies> <http://dbpedia.org/ontology/notableWork> ?uri  . }	[]								
3345	What is the birth name  of Putri Raemawasti ?	What is the birth name  of Putri Raemawasti ?	birth name  of 	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Putri_Raemawasti> <http://dbpedia.org/property/birthName> ?uri } 	[]								
3348	From where does the river Upper Neretva start flowing?	From where does the river Upper Neretva start flowing?	start flowing from	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Upper_Neretva> <http://dbpedia.org/ontology/riverMouth> ?uri } 	[]								
3368	To which american football teams does the Heinz Field serve as home stadium?	To which american football teams does the Heinz Field serve as home stadium?	serve as	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heinz_Field> <http://dbpedia.org/property/tenants> ?uri } 	[]								
3369	What is the official name of Colorado wine ?	What is the official name of Colorado wine ?	official name of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Colorado_wine> <http://dbpedia.org/property/officialName> ?uri } 	[]								
3389	What is the route end of Birmingham and Oxford Junction Railway ?	What is the route end of Birmingham and Oxford Junction Railway ?	route end of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Birmingham_and_Oxford_Junction_Railway> <http://dbpedia.org/ontology/routeEnd> ?uri } 	[]								
3391	What is the municipality of Homestead Grays Bridge ?	What is the municipality of Homestead Grays Bridge ?	municipality of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Homestead_Grays_Bridge> <http://dbpedia.org/ontology/municipality> ?uri } 	[]								
3420	Who is the fictional character whose family member is Padme Amidala?	Who is the fictional character whose family member is Padme Amidala?	family member	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/family> <http://dbpedia.org/resource/Padmé_Amidala>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/FictionalCharacter>}	[]								
3444	Who is the meaning of Isa  ?	Who is the meaning of Isa  ?	meaning of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Isa_(name)> <http://dbpedia.org/property/meaning> ?uri } 	[]								
3476	Who are the astronauts associated with NASA?	Who are the astronauts associated with NASA?	associated with	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/type> <http://dbpedia.org/resource/NASA>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Astronaut>}	[]								
3490	What are the central characters in spy kids series?	What are the central characters in spy kids series?	central characters in	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/series> <http://dbpedia.org/resource/Spy_Kids_(franchise)>  . }	[]								
3502	What are the hubs of PLUS Helicopter Services, a highway helicopter unit of PLUS Expressways?	What are the hubs of PLUS Helicopter Services, a highway helicopter unit of PLUS Expressways?	hubs of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/PLUS_Expressways> <http://dbpedia.org/property/hubs> ?uri } 	[]								
3512	What is the colour of Xocolatlite ?	What is the colour of Xocolatlite ?	colour of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Xocolatlite> <http://dbpedia.org/ontology/colour> ?uri } 	[]								
3522	Name the president of Wyche Fowler ?	Name the president of Wyche Fowler ?	president of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Wyche_Fowler> <http://dbpedia.org/ontology/president> ?uri } 	[]								
3533	Which movies's screenplay is written by Akiva Goldsman	Which movies's screenplay is written by Akiva Goldsman	written by	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/screenplay> <http://dbpedia.org/resource/Akiva_Goldsman>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}	[]								
3546	What are the movies written by Nick Castle?	What are the movies written by Nick Castle?	written by	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/writer> <http://dbpedia.org/resource/Nick_Castle>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}	[]								
3572	Whihc uni did Joshua A. Siegel attend ?	Whihc uni did Joshua A. Siegel attend ?	attend 	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Joshua_A._Siegel> <http://dbpedia.org/property/education> ?uri } 	[]								
3577	What is the successor of PlayStation 4	What is the successor of PlayStation 4	successor of	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/successor> <http://dbpedia.org/resource/PlayStation_4>  . }	[]								
3579	To which series does Lost special belong to ?	To which series does Lost special belong to ?	belong to	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Lost_Special> <http://dbpedia.org/property/series> ?uri } 	[]								
3584	What is the religious affiliation of Neungin High School?	What is the religious affiliation of Neungin High School?	religious affiliation of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Neungin_High_School> <http://dbpedia.org/property/religiousAffiliation> ?uri } 	[]								
3596	Who directed The Haunted House ?	Who directed The Haunted House ?	directed	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Haunted_House_(1929_film)> <http://dbpedia.org/ontology/director> ?uri } 	[]								
3600	what awards have been given to A. Peter Dewey?	what awards have been given to A. Peter Dewey?	given to	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/A._Peter_Dewey> <http://dbpedia.org/ontology/award> ?uri } 	[]								
3677	What is the content licence of MSX BASIC ?	What is the content licence of MSX BASIC ?	content licence of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/MSX_BASIC> <http://dbpedia.org/property/license> ?uri } 	[]								
3713	What is the purpose of New Zealand Chess Federation ?	What is the purpose of New Zealand Chess Federation ?	purpose of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/New_Zealand_Chess_Federation> <http://dbpedia.org/property/purpose> ?uri } 	[]								
3746	Josef Bhler belongs to which political party?	Josef Bhler belongs to which political party?	belongs to	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Josef_Bühler> <http://dbpedia.org/ontology/occupation> ?uri } 	[]								
3748	Where is the headquarters of Sigma TV	Where is the headquarters of Sigma TV	headquarters of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Sigma_TV> <http://dbpedia.org/property/headquarters> ?uri } 	[]								
3762	In how many places has Don R. Berlin worked?	In how many places has Don R. Berlin worked?	worked in	SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/Don_R._Berlin> <http://dbpedia.org/ontology/employer> ?uri  . }	[]								
3812	Count the movies in Swedish language?	Count the movies in Swedish language?	movies in	SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/language> <http://dbpedia.org/resource/Swedish_language>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}	[]								
3818	How many politicians live in India?	How many politicians live in India?	live in	SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/residence> <http://dbpedia.org/resource/India>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>}	[]								
3850	What river is it whose source is Dowra?	What river is it whose source is Dowra?	source	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/sourceLocation> <http://dbpedia.org/resource/Dowra>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/River>}	[]								
3854	What is the launch site of Aquarius (rocket) ?	What is the launch site of Aquarius (rocket) ?	launch site of	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Aquarius_(rocket)> <http://dbpedia.org/ontology/launchSite> ?uri } 	[]								
