QALD id,match status,QALD question,QueGG question,TP,FP,FN,QALD SPARQL query,QueGG SPARQL query,TP,FP,FN,Precision,Recall,F-Measure
151,0,What is the bridge with the longest span?,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
        ?uri rdf:type dbo:Bridge .
        ?uri dbo:mainspan ?s . 
} 
ORDER BY DESC(?s) 
OFFSET 0 LIMIT 1",,0,1,1,0,0,0
157,0,Was U.S. president Jackson involved in a war?,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
	res:Andrew_Jackson dbo:battle ?battle .    
}",,0,1,1,0,0,0
165,0.863636363636364,Who was the 16th president of the United States?,"""What was the president of United States?""",0,1,2,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri
WHERE {
         ?uri dbo:office 'President of the United States' .
         ?uri dbo:orderInOffice '16th' .
}","select  ?o    

{

    <http://dbpedia.org/resource/United_States> <http://dbpedia.org/ontology/office>  ?o .    

}",0,1,2,0,0,0
177,0.776119402985075,Give me all Swedish oceanographers.,"""Give me all sons of Oceanography""",0,1,42,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
        ?uri dbo:field res:Oceanography . 
        ?uri dbo:birthPlace res:Sweden .        
}","select  ?o    

{

    <http://dbpedia.org/resource/Oceanography> <http://dbpedia.org/ontology/child>  ?o .    

}",0,1,42,0,0,0
178,0,Show me Hemingway's autobiography.,,0,1,21,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Ernest_Hemingway> . ?uri <http://dbpedia.org/ontology/literaryGenre> <http://dbpedia.org/resource/Autobiography> . },,0,1,21,0,0,0
182,0.707692307692308,Which city has the least inhabitants?,"""which city was Cher live in?""",0,1,1,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City> .  ?uri <http://dbpedia.org/ontology/populationTotal> ?pop . } ORDER BY ASC(?pop) OFFSET 0 LIMIT 1 ,"select  ?o    

{

    <http://dbpedia.org/resource/Cher> <http://dbpedia.org/ontology/residence>  ?o .   ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/City> .    

}",0,1,1,0,0,0
186,0,Is Lake Baikal bigger than the Great Bear Lake?,,0,1,1,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
ASK
WHERE {  
        res:Lake_Baikal dbo:areaTotal ?a1 . 
        res:Great_Bear_Lake dbo:areaTotal ?a2 .
        FILTER (?a1 > ?a2)
}",,0,1,1,0,0,0
187,0,Did Kaurismäki ever win the Grand Prix at Cannes?,,0,1,1,ASK WHERE { <http://dbpedia.org/resource/Aki_Kaurismäki> <http://dbpedia.org/ontology/award> <http://dbpedia.org/resource/Grand_Prix_(Cannes_Film_Festival)> . },,0,1,1,0,0,0
191,1,Where is Syngman Rhee buried?,"""Where is Syngman Rhee buried?""",0,1,1,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Syngman_Rhee> <http://dbpedia.org/ontology/restingPlace> ?uri . } ,"select  ?o    

{

    <http://dbpedia.org/resource/Syngman_Rhee> <http://dbpedia.org/ontology/restingPlace>  ?o .    

}",0,1,1,0,0,0
193,0,To which artistic movement did the painter of The Three Dancers belong?,,0,1,2,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/The_Three_Dancers> <http://dbpedia.org/ontology/author> ?person .  ?person <http://dbpedia.org/ontology/movement> ?uri . } ,,0,1,2,0,0,0
196,0,Give me all cities in New Jersey with more than 100000 inhabitants.,,0,1,8,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
	?uri rdf:type dbo:City .
        ?uri dbo:isPartOf res:New_Jersey .
        ?uri dbp:populationTotal ?inhabitants .
        FILTER (?inhabitants > 100000) .
}",,0,1,8,0,0,0
197,0,Which museum in New York has the most visitors?,,0,1,1,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Museum> .  ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/New_York_City> .  ?uri <http://dbpedia.org/ontology/numberOfVisitors> ?num . } ORDER BY DESC(?num) OFFSET 0 LIMIT 1 ,,0,1,1,0,0,0
200,0.984615384615385,Who is the youngest Darts player?,"""Who is the youngest DartsPlayer?""",0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri
WHERE {
        ?uri rdf:type dbo:DartsPlayer .
        ?uri dbo:birthDate ?date .
}
ORDER BY DESC(?date)
OFFSET 0 LIMIT 1","SELECT DISTINCT ?subjOfProp WHERE 

{

 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/DartsPlayer> . ?subjOfProp <http://dbpedia.org/ontology/birthDate> ?num . 

} ORDER BY DESC(?num) LIMIT 1",0,1,1,0,0,0
202,0.732673267326733,Who was the pope that founded the Vatican Television?,"""Who was the parent of Vatican Television Center?"" (does nt match)",0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT ?uri 
WHERE { 
         ?uri rdf:type dbo:Pope . 
         res:Vatican_Television_Center dbo:foundedBy ?uri .
}","select  ?o    

{

    <http://dbpedia.org/resource/Vatican_Television_Center> <http://dbpedia.org/ontology/parent>  ?o .    

}",0,1,1,0,0,0
205,0,Who is starring in Spanish movies produced by Benicio del Toro?,,0,1,13,SELECT DISTINCT ?uri WHERE { ?film <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?film <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Spain> . ?film <http://dbpedia.org/ontology/producer> <http://dbpedia.org/resource/Benicio_del_Toro> . ?film <http://dbpedia.org/ontology/starring> ?uri . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person> . } ,,0,1,13,0,0,0
206,0,Which subsidiary of TUI Travel serves both Glasgow and Dublin?,,0,1,2,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/TUI_Travel> <http://dbpedia.org/ontology/subsidiary> ?uri .  ?uri <http://dbpedia.org/ontology/targetAirport> <http://dbpedia.org/resource/Glasgow_Airport> . ?uri <http://dbpedia.org/ontology/targetAirport> <http://dbpedia.org/resource/Dublin_Airport> . } ,,0,1,2,0,0,0
,,,,416,768,451,,,416,768,451,0.35135135,0.47981545,0.40565577
